iter	Logloss
0	0.6871488297
1	0.6823326065
2	0.6771967991
3	0.6722380904
4	0.6696256792
5	0.6648302158
6	0.6598442762
7	0.6571296713
8	0.6519925688
9	0.646823018
10	0.6422836202
11	0.6385333839
12	0.6345573343
13	0.6309301841
14	0.6265186047
15	0.6223342273
16	0.6177814038
17	0.6146114239
18	0.6107621133
19	0.6074988607
20	0.6041634692
21	0.6002872923
22	0.5974703398
23	0.5934778124
24	0.5894228524
25	0.5854997434
26	0.5818449016
27	0.5790849897
28	0.577475377
29	0.5740205766
30	0.5714806267
31	0.5678631402
32	0.5646534227
33	0.5622959432
34	0.5590179078
35	0.5576012488
36	0.5545948249
37	0.5521130285
38	0.5507905006
39	0.5475135903
40	0.5449931979
41	0.5428159517
42	0.5405990391
43	0.5382526568
44	0.5358337581
45	0.5339076305
46	0.5318672887
47	0.5306217481
48	0.5276650486
49	0.5253236421
50	0.5227496139
51	0.5203843343
52	0.5183301564
53	0.5159828629
54	0.5138669239
55	0.5112329906
56	0.5088355971
57	0.5066016269
58	0.5050965054
59	0.5037308804
60	0.50157866
61	0.4996858432
62	0.4988637312
63	0.4980557914
64	0.4970997492
65	0.495976059
66	0.4945723886
67	0.4938196791
68	0.4930801329
69	0.4909480448
70	0.4894998275
71	0.488263165
72	0.4872207521
73	0.4858698144
74	0.4844978539
75	0.4829123792
76	0.4812646298
77	0.4796549874
78	0.4777010568
79	0.4765117218
80	0.4753031292
81	0.4744277136
82	0.4729444312
83	0.4723891363
84	0.4715597202
85	0.4701701896
86	0.4691038635
87	0.467834339
88	0.4668216945
89	0.4657384671
90	0.4644360477
91	0.4632907778
92	0.4624534375
93	0.461045154
94	0.4595937863
95	0.4582793143
96	0.4565973326
97	0.456172102
98	0.4556284243
99	0.4552047402
100	0.4536822545
101	0.4526633467
102	0.4522753019
103	0.4511037214
104	0.4496480598
105	0.4491306401
106	0.4478943919
107	0.4469201663
108	0.4459320096
109	0.4451144279
110	0.4442186002
111	0.4430541647
112	0.4423305696
113	0.4414846965
114	0.4404964171
115	0.4398978542
116	0.4386647468
117	0.4375819047
118	0.4369862151
119	0.4368219827
120	0.4358619973
121	0.4349281336
122	0.4337862884
123	0.4327536387
124	0.4317255787
125	0.430701967
126	0.430451693
127	0.429440788
128	0.4291445377
129	0.4282676614
130	0.4272096526
131	0.4264540799
132	0.4257085726
133	0.4246858941
134	0.4240658155
135	0.4233325366
136	0.4223677088
137	0.4218026376
138	0.4216011613
139	0.4209838513
140	0.4203519399
141	0.419852972
142	0.4192139284
143	0.4182974242
144	0.4173744936
145	0.4171720812
146	0.4164513096
147	0.415835589
148	0.4154130128
149	0.4149305526
150	0.4145033209
151	0.4135854155
152	0.4131956048
153	0.4123928
154	0.4117953576
155	0.4116076165
156	0.4110315073
157	0.4103959022
158	0.4098725817
159	0.4092841828
160	0.4089267694
161	0.4083203828
162	0.4077714439
163	0.407117103
164	0.4066335782
165	0.4061834611
166	0.4056665893
167	0.4051897825
168	0.4046686398
169	0.4040705186
170	0.4036235844
171	0.4029139278
172	0.4021372077
173	0.4017317811
174	0.401625444
175	0.4010869631
176	0.4005681916
177	0.4002951932
178	0.4000198495
179	0.3998586891
180	0.3997912756
181	0.3993707779
182	0.398760665
183	0.3986661205
184	0.39810875
185	0.3976806975
186	0.3974898013
187	0.3969156341
188	0.3968290914
189	0.3962710824
190	0.3958237349
191	0.3953101071
192	0.3949722661
193	0.3945776334
194	0.3941125475
195	0.3937634622
196	0.3934688082
197	0.3930720555
198	0.3926378475
199	0.3925569558
200	0.3924683152
201	0.3921967795
202	0.3920020426
203	0.3916594566
204	0.3911767304
205	0.3907858871
206	0.3903352949
207	0.3898604896
208	0.3895535507
209	0.3891968957
210	0.3886522514
211	0.3881613397
212	0.387845869
213	0.3873597302
214	0.3866743269
215	0.3861206001
216	0.3856941868
217	0.3854034665
218	0.3851667845
219	0.384775788
220	0.3844341681
221	0.3843688846
222	0.3839359295
223	0.3836262692
224	0.3835842797
225	0.3832357162
226	0.3830654975
227	0.3829201986
228	0.3826055224
229	0.3823570039
230	0.3818805676
231	0.3817954442
232	0.3814859068
233	0.3810789257
234	0.3809896215
235	0.3808932886
236	0.380605434
237	0.3803200777
238	0.3800322918
239	0.3796511128
240	0.3795324272
241	0.3794257034
