iter	Passed	Remaining
0	2	2760
1	5	2509
2	7	2393
3	9	2327
4	10	2134
5	12	2117
6	15	2165
7	16	2022
8	17	1975
9	20	2010
10	22	2026
11	24	2027
12	26	2049
13	28	2041
14	31	2056
15	33	2068
16	36	2085
17	38	2115
18	41	2145
19	43	2155
20	47	2192
21	49	2187
22	51	2180
23	53	2184
24	57	2231
25	58	2204
26	60	2193
27	62	2169
28	63	2141
29	65	2133
30	67	2114
31	69	2111
32	71	2100
33	73	2100
34	75	2090
35	76	2056
36	78	2041
37	80	2025
38	81	2000
39	83	1993
40	84	1984
41	86	1971
42	88	1961
43	90	1961
44	91	1940
45	92	1915
46	93	1902
47	94	1879
48	96	1867
49	97	1855
50	99	1844
51	100	1835
52	102	1831
53	103	1820
54	105	1816
55	107	1808
56	108	1798
57	110	1789
58	111	1772
59	112	1763
60	114	1755
61	115	1750
62	116	1734
63	117	1718
64	118	1702
65	119	1690
66	120	1683
67	121	1667
68	122	1652
69	123	1647
70	125	1641
71	126	1629
72	127	1618
73	128	1609
74	129	1601
75	131	1597
76	132	1592
77	134	1588
78	135	1583
79	137	1579
80	138	1572
81	139	1562
82	141	1558
83	141	1546
84	142	1537
85	144	1533
86	145	1529
87	147	1526
88	148	1522
89	150	1520
90	151	1516
91	153	1513
92	154	1510
93	156	1506
94	157	1500
95	159	1497
96	160	1495
97	161	1486
98	162	1478
99	163	1470
100	164	1468
101	166	1466
102	167	1457
103	168	1454
104	170	1452
105	171	1447
106	173	1444
107	174	1441
108	176	1440
109	177	1437
110	179	1433
111	180	1430
112	181	1428
113	183	1425
114	184	1423
115	186	1420
116	187	1418
117	189	1416
118	190	1410
119	191	1402
120	192	1399
121	194	1397
122	195	1395
123	197	1392
124	198	1390
125	200	1388
126	200	1381
127	202	1378
128	203	1373
129	204	1371
130	206	1369
131	208	1367
132	209	1364
133	210	1361
134	212	1359
135	213	1356
136	214	1354
137	216	1350
138	216	1344
139	218	1342
140	219	1339
141	221	1337
142	222	1334
143	224	1332
144	225	1330
145	226	1324
146	228	1323
147	229	1321
148	230	1319
149	232	1317
150	234	1315
151	235	1314
152	237	1313
153	238	1311
154	240	1309
155	241	1304
156	242	1301
157	243	1299
158	245	1298
159	246	1296
160	248	1292
161	249	1291
162	251	1290
163	252	1288
164	254	1285
165	255	1283
166	257	1282
167	258	1280
168	259	1277
169	261	1275
170	262	1274
171	264	1273
172	265	1271
173	267	1270
174	268	1265
175	270	1264
176	271	1264
177	273	1263
178	275	1263
179	276	1260
180	277	1256
181	279	1255
182	280	1253
183	281	1248
184	282	1246
185	284	1244
186	285	1242
187	287	1240
188	287	1235
189	289	1234
190	291	1233
191	292	1231
192	294	1229
193	295	1227
194	296	1225
195	298	1224
196	299	1222
197	301	1220
198	302	1218
199	303	1215
200	304	1211
201	306	1209
202	307	1206
203	308	1205
204	310	1203
205	311	1201
206	313	1202
207	315	1200
208	317	1201
209	319	1200
210	320	1199
211	322	1199
212	324	1199
213	326	1199
214	328	1199
215	329	1197
216	332	1199
217	334	1199
218	335	1196
219	337	1195
220	338	1194
221	339	1190
222	341	1190
223	343	1190
224	344	1186
225	346	1185
226	348	1185
227	349	1183
228	351	1182
229	352	1181
230	354	1179
231	355	1176
232	356	1175
233	358	1174
234	359	1171
235	360	1168
236	362	1166
237	364	1165
238	365	1164
239	367	1163
240	369	1163
241	371	1163
242	373	1162
243	374	1161
244	376	1159
245	377	1158
246	379	1156
247	381	1155
248	382	1153
249	383	1151
250	385	1149
251	386	1147
252	387	1145
253	389	1142
254	390	1141
255	392	1139
256	393	1139
257	395	1136
258	396	1134
259	398	1133
260	400	1132
261	401	1131
262	403	1130
263	405	1130
264	407	1130
265	409	1128
266	410	1127
267	412	1125
268	413	1123
269	414	1121
270	416	1120
271	417	1118
272	419	1116
273	420	1114
274	422	1113
275	423	1110
276	424	1108
277	426	1106
278	427	1105
279	428	1102
280	430	1101
281	431	1099
282	433	1097
283	434	1096
284	436	1094
285	437	1092
286	439	1091
287	440	1089
288	441	1087
289	443	1086
290	445	1084
291	445	1081
292	447	1079
293	448	1076
294	449	1073
295	450	1071
296	452	1069
297	453	1068
298	454	1065
299	456	1064
300	457	1062
301	459	1060
302	460	1058
